Time,Rate,RR,,
4/8/2020 15:47,88,1098,,
4/8/2020 15:47,87,900,,
4/8/2020 15:47,86,609,,
4/8/2020 15:47,87,609,,
4/8/2020 15:47,88,538,,85.40336134
4/8/2020 15:47,88,900,,698.3305322
4/8/2020 15:47,87,900,,
4/8/2020 15:47,87,739,,
4/8/2020 15:47,86,833,,
4/8/2020 15:47,87,833,,
4/8/2020 15:47,86,652,,
4/8/2020 15:47,86,638,,
4/8/2020 15:47,86,638,,
4/8/2020 15:47,85,673,,
4/8/2020 15:47,84,839,,
4/8/2020 15:47,84,839,,
4/8/2020 15:47,84,839,,
4/8/2020 15:47,84,829,,
4/8/2020 15:47,85,810,,
4/8/2020 15:47,85,642,,
4/8/2020 15:47,86,648,,
4/8/2020 15:47,87,648,,
4/8/2020 15:47,87,556,,
4/8/2020 15:47,87,637,,
4/8/2020 15:47,87,746,,
4/8/2020 15:47,87,746,,
4/8/2020 15:47,88,635,,
4/8/2020 15:47,89,602,,
4/8/2020 15:47,89,591,,
4/8/2020 15:47,90,591,,
4/8/2020 15:47,90,692,,
4/8/2020 15:47,91,692,,
4/8/2020 15:47,92,692,,
4/8/2020 15:47,92,750,,
4/8/2020 15:47,93,604,,
4/8/2020 15:47,94,676,,
4/8/2020 15:47,93,676,,
4/8/2020 15:47,94,686,,
4/8/2020 15:47,94,635,,
4/8/2020 15:47,94,640,,
4/8/2020 15:47,94,640,,
4/8/2020 15:47,94,671,,
4/8/2020 15:48,94,596,,
4/8/2020 15:48,94,588,,
4/8/2020 15:48,94,608,,
4/8/2020 15:48,95,608,,
4/8/2020 15:48,94,668,,
4/8/2020 15:48,94,681,,
4/8/2020 15:48,94,619,,
4/8/2020 15:48,94,619,,
4/8/2020 15:48,94,614,,
4/8/2020 15:48,94,747,,
4/8/2020 15:48,93,710,,
4/8/2020 15:48,93,710,,
4/8/2020 15:48,93,625,,
4/8/2020 15:48,93,631,,
4/8/2020 15:48,92,695,,
4/8/2020 15:48,92,557,,
4/8/2020 15:48,93,557,,
4/8/2020 15:48,93,527,,
4/8/2020 15:48,93,704,,
4/8/2020 15:48,93,704,,
4/8/2020 15:48,92,825,,
4/8/2020 15:48,92,666,,
4/8/2020 15:48,92,667,,
4/8/2020 15:48,91,667,,
4/8/2020 15:48,91,654,,
4/8/2020 15:48,90,756,,
4/8/2020 15:48,90,756,,
4/8/2020 15:48,89,752,,
4/8/2020 15:48,89,664,,
4/8/2020 15:48,89,641,,
4/8/2020 15:48,89,684,,
4/8/2020 15:48,89,684,,
4/8/2020 15:48,89,643,,
4/8/2020 15:48,89,614,,
4/8/2020 15:48,89,614,,
4/8/2020 15:48,89,736,,
4/8/2020 15:48,89,724,,
4/8/2020 15:48,89,621,,
4/8/2020 15:48,89,602,,
4/8/2020 15:48,89,602,,
4/8/2020 15:48,89,704,,
4/8/2020 15:48,89,741,,
4/8/2020 15:48,89,741,,
4/8/2020 15:48,88,684,,
4/8/2020 15:48,88,665,,
4/8/2020 15:48,88,665,,
4/8/2020 15:48,88,749,,
4/8/2020 15:48,87,767,,
4/8/2020 15:48,87,589,,
4/8/2020 15:48,88,652,,
4/8/2020 15:48,87,652,,
4/8/2020 15:48,87,782,,
4/8/2020 15:48,87,685,,
4/8/2020 15:48,88,505,,
4/8/2020 15:48,88,397,,
4/8/2020 15:48,87,397,,
4/8/2020 15:48,87,397,,
4/8/2020 15:48,87,550,,
4/8/2020 15:48,87,650,,
4/8/2020 15:48,87,963,,
4/8/2020 15:48,87,746,,
4/8/2020 15:48,87,654,,
4/8/2020 15:48,87,726,,
4/8/2020 15:48,87,653,,
4/8/2020 15:48,88,653,,
4/8/2020 15:48,89,603,,
4/8/2020 15:48,89,603,,
4/8/2020 15:48,88,762,,
4/8/2020 15:48,88,852,,
4/8/2020 15:48,87,852,,
4/8/2020 15:48,87,769,,
4/8/2020 15:48,87,769,,
4/8/2020 15:48,87,929,,
4/8/2020 15:48,87,736,,
4/8/2020 15:48,87,541,,
4/8/2020 15:48,87,622,,
4/8/2020 15:48,88,622,,
4/8/2020 15:48,88,636,,
4/8/2020 15:48,88,742,,
4/8/2020 15:48,88,698,,
4/8/2020 15:48,89,698,,
4/8/2020 15:48,89,612,,
4/8/2020 15:48,89,612,,
4/8/2020 15:48,89,612,,
4/8/2020 15:48,89,739,,
4/8/2020 15:48,89,754,,
4/8/2020 15:48,89,654,,
4/8/2020 15:48,89,654,,
4/8/2020 15:48,89,646,,
4/8/2020 15:48,88,646,,
4/8/2020 15:48,88,923,,
4/8/2020 15:48,88,885,,
4/8/2020 15:48,88,885,,
4/8/2020 15:48,88,793,,
4/8/2020 15:48,88,726,,
4/8/2020 15:48,88,681,,
4/8/2020 15:48,88,681,,
4/8/2020 15:48,88,633,,
4/8/2020 15:48,89,599,,
4/8/2020 15:48,89,599,,
4/8/2020 15:48,89,678,,
4/8/2020 15:48,88,827,,
4/8/2020 15:48,88,827,,
4/8/2020 15:48,88,853,,
4/8/2020 15:48,87,734,,
4/8/2020 15:48,87,734,,
4/8/2020 15:48,86,739,,
4/8/2020 15:48,86,795,,
4/8/2020 15:48,86,695,,
4/8/2020 15:48,85,695,,
4/8/2020 15:48,84,734,,
4/8/2020 15:48,84,734,,
4/8/2020 15:48,84,697,,
4/8/2020 15:48,83,717,,
4/8/2020 15:48,83,771,,
4/8/2020 15:48,83,771,,
4/8/2020 15:48,84,612,,
4/8/2020 15:48,84,795,,
4/8/2020 15:48,83,795,,
4/8/2020 15:48,83,769,,
4/8/2020 15:49,83,670,,
4/8/2020 15:49,83,670,,
4/8/2020 15:49,83,645,,
4/8/2020 15:49,82,781,,
4/8/2020 15:49,82,781,,
4/8/2020 15:49,82,756,,
4/8/2020 15:49,83,679,,
4/8/2020 15:49,83,673,,
4/8/2020 15:49,83,673,,
4/8/2020 15:49,83,766,,
4/8/2020 15:49,83,766,,
4/8/2020 15:49,82,798,,
4/8/2020 15:49,82,753,,
4/8/2020 15:49,82,753,,
4/8/2020 15:49,82,777,,
4/8/2020 15:49,81,814,,
4/8/2020 15:49,81,720,,
4/8/2020 15:49,81,720,,
4/8/2020 15:49,81,664,,
4/8/2020 15:49,81,614,,
4/8/2020 15:49,82,614,,
4/8/2020 15:49,82,636,,
4/8/2020 15:49,82,636,,
4/8/2020 15:49,81,936,,
4/8/2020 15:49,81,862,,
4/8/2020 15:49,81,862,,
4/8/2020 15:49,80,786,,
4/8/2020 15:49,80,742,,
4/8/2020 15:49,80,742,,
4/8/2020 15:49,79,776,,
4/8/2020 15:49,79,770,,
4/8/2020 15:49,79,770,,
4/8/2020 15:49,79,708,,
4/8/2020 15:49,79,697,,
4/8/2020 15:49,80,754,,
4/8/2020 15:49,80,754,,
4/8/2020 15:49,80,694,,
4/8/2020 15:49,81,661,,
4/8/2020 15:49,81,608,,
4/8/2020 15:49,81,608,,
4/8/2020 15:49,82,756,,
4/8/2020 15:49,82,756,,
4/8/2020 15:49,82,780,,
4/8/2020 15:49,82,741,,
