Time,Rate,RR
4/8/2020 16:10,88,708
4/8/2020 16:10,87,708
4/8/2020 16:10,87,822
4/8/2020 16:10,87,915
4/8/2020 16:10,87,915
4/8/2020 16:10,88,987
4/8/2020 16:10,89,492
4/8/2020 16:10,88,522
4/8/2020 16:10,88,601
4/8/2020 16:10,88,601
4/8/2020 16:10,88,770
4/8/2020 16:10,87,770
4/8/2020 16:10,86,770
4/8/2020 16:10,86,1340
4/8/2020 16:10,85,689
4/8/2020 16:10,85,566
4/8/2020 16:10,85,566
4/8/2020 16:10,86,691
4/8/2020 16:10,86,664
4/8/2020 16:10,87,706
4/8/2020 16:10,87,706
4/8/2020 16:10,87,667
4/8/2020 16:10,87,819
4/8/2020 16:10,88,819
4/8/2020 16:10,88,422
4/8/2020 16:10,87,861
4/8/2020 16:10,87,659
4/8/2020 16:10,88,659
4/8/2020 16:10,88,666
4/8/2020 16:10,88,650
4/8/2020 16:10,88,673
4/8/2020 16:10,88,673
4/8/2020 16:10,88,648
4/8/2020 16:10,88,666
4/8/2020 16:10,89,667
4/8/2020 16:10,89,667
4/8/2020 16:10,89,692
4/8/2020 16:10,89,657
4/8/2020 16:11,89,658
4/8/2020 16:11,89,658
4/8/2020 16:11,89,686
4/8/2020 16:11,89,694
4/8/2020 16:11,89,666
4/8/2020 16:11,89,666
4/8/2020 16:11,89,673
4/8/2020 16:11,89,630
4/8/2020 16:11,89,671
4/8/2020 16:11,89,671
4/8/2020 16:11,89,654
4/8/2020 16:11,90,648
4/8/2020 16:11,90,632
4/8/2020 16:11,90,635
4/8/2020 16:11,90,635
4/8/2020 16:11,91,633
4/8/2020 16:11,91,613
4/8/2020 16:11,91,633
4/8/2020 16:11,92,619
4/8/2020 16:11,92,619
4/8/2020 16:11,92,648
4/8/2020 16:11,92,648
4/8/2020 16:11,92,859
4/8/2020 16:11,93,888
4/8/2020 16:11,93,888
4/8/2020 16:11,94,756
4/8/2020 16:11,94,591
4/8/2020 16:11,94,602
4/8/2020 16:11,95,596
4/8/2020 16:11,95,603
4/8/2020 16:11,96,603
4/8/2020 16:11,96,611
4/8/2020 16:11,96,629
4/8/2020 16:11,96,651
4/8/2020 16:11,96,651
4/8/2020 16:11,96,670
4/8/2020 16:11,96,658
4/8/2020 16:11,96,661
4/8/2020 16:11,95,687
4/8/2020 16:11,95,661
4/8/2020 16:11,94,656
4/8/2020 16:11,93,656
4/8/2020 16:11,93,661
4/8/2020 16:11,92,673
4/8/2020 16:11,92,666
4/8/2020 16:11,92,666
4/8/2020 16:11,91,642
4/8/2020 16:11,91,657
4/8/2020 16:11,91,681
4/8/2020 16:11,91,681
4/8/2020 16:11,90,664
4/8/2020 16:11,91,633
4/8/2020 16:11,90,641
4/8/2020 16:11,91,641
4/8/2020 16:11,90,651
4/8/2020 16:11,91,684
4/8/2020 16:11,90,708
4/8/2020 16:11,90,708
4/8/2020 16:11,90,723
4/8/2020 16:11,89,725
4/8/2020 16:11,89,725
4/8/2020 16:11,89,658
4/8/2020 16:11,89,655
4/8/2020 16:11,89,643
4/8/2020 16:11,89,659
4/8/2020 16:11,89,659
4/8/2020 16:11,89,663
4/8/2020 16:11,89,655
4/8/2020 16:11,89,658
4/8/2020 16:11,89,658
4/8/2020 16:11,89,665
4/8/2020 16:11,91,616
4/8/2020 16:11,90,625
4/8/2020 16:11,89,617
4/8/2020 16:11,91,616
4/8/2020 16:11,91,642
4/8/2020 16:11,91,682
4/8/2020 16:11,91,682
4/8/2020 16:11,91,694
4/8/2020 16:11,91,701
4/8/2020 16:11,91,694
4/8/2020 16:11,90,727
4/8/2020 16:11,90,721
4/8/2020 16:11,89,719
4/8/2020 16:11,89,719
4/8/2020 16:11,89,699
4/8/2020 16:11,88,641
4/8/2020 16:11,88,657
4/8/2020 16:11,88,657
4/8/2020 16:11,88,664
4/8/2020 16:11,88,713
4/8/2020 16:11,88,713
4/8/2020 16:11,87,733
4/8/2020 16:11,87,705
4/8/2020 16:11,87,677
4/8/2020 16:11,87,677
4/8/2020 16:11,87,660
4/8/2020 16:11,87,660
4/8/2020 16:11,87,635
4/8/2020 16:11,88,614
4/8/2020 16:11,89,615
4/8/2020 16:11,88,623
4/8/2020 16:11,88,614
4/8/2020 16:11,89,654
4/8/2020 16:11,90,654
4/8/2020 16:11,90,662
4/8/2020 16:11,90,676
4/8/2020 16:11,90,713
4/8/2020 16:11,90,713
4/8/2020 16:11,89,737
4/8/2020 16:11,89,722
4/8/2020 16:11,89,722
4/8/2020 16:11,88,699
4/8/2020 16:11,88,679
4/8/2020 16:11,88,689
4/8/2020 16:11,87,689
4/8/2020 16:11,87,660
4/8/2020 16:11,88,647
4/8/2020 16:11,88,646
4/8/2020 16:12,88,646
4/8/2020 16:12,88,660
4/8/2020 16:12,89,653
4/8/2020 16:12,89,665
4/8/2020 16:12,89,665
4/8/2020 16:12,89,668
4/8/2020 16:12,89,671
4/8/2020 16:12,89,671
4/8/2020 16:12,90,671
4/8/2020 16:12,90,642
4/8/2020 16:12,90,649
4/8/2020 16:12,90,644
4/8/2020 16:12,90,653
4/8/2020 16:12,90,653
4/8/2020 16:12,91,622
4/8/2020 16:12,91,604
4/8/2020 16:12,91,647
4/8/2020 16:12,92,639
4/8/2020 16:12,92,639
4/8/2020 16:12,92,618
4/8/2020 16:12,93,617
4/8/2020 16:12,93,641
4/8/2020 16:12,93,616
4/8/2020 16:12,93,616
4/8/2020 16:12,94,623
4/8/2020 16:12,94,648
4/8/2020 16:12,94,666
4/8/2020 16:12,94,666
4/8/2020 16:12,94,673
4/8/2020 16:12,93,665
4/8/2020 16:12,93,654
4/8/2020 16:12,93,654
4/8/2020 16:12,93,685
4/8/2020 16:12,92,672
4/8/2020 16:12,92,678
4/8/2020 16:12,92,678
4/8/2020 16:12,91,681
4/8/2020 16:12,91,640
4/8/2020 16:12,91,643
4/8/2020 16:12,91,643
4/8/2020 16:12,91,647
4/8/2020 16:12,91,655
4/8/2020 16:12,91,675
4/8/2020 16:12,91,675
4/8/2020 16:12,90,698
4/8/2020 16:12,90,671
4/8/2020 16:12,90,656
4/8/2020 16:12,90,656
4/8/2020 16:12,90,659
4/8/2020 16:12,90,660
4/8/2020 16:12,90,628
4/8/2020 16:12,90,631
4/8/2020 16:12,90,631
4/8/2020 16:12,91,611
4/8/2020 16:12,91,625
4/8/2020 16:12,91,614
4/8/2020 16:12,92,637
4/8/2020 16:12,92,637
4/8/2020 16:12,92,641
4/8/2020 16:12,93,642
4/8/2020 16:12,93,633
4/8/2020 16:12,93,633
4/8/2020 16:12,93,644
4/8/2020 16:12,93,635
4/8/2020 16:12,93,629
4/8/2020 16:12,93,647
4/8/2020 16:12,94,647
4/8/2020 16:12,94,628
4/8/2020 16:12,94,640
4/8/2020 16:12,94,653
4/8/2020 16:12,94,653
4/8/2020 16:12,93,665
4/8/2020 16:12,93,704
4/8/2020 16:12,93,693
4/8/2020 16:12,92,693
4/8/2020 16:12,92,651
4/8/2020 16:12,92,641
4/8/2020 16:12,92,638
4/8/2020 16:12,92,638
4/8/2020 16:12,91,674
4/8/2020 16:12,91,673
4/8/2020 16:12,91,659
4/8/2020 16:12,91,652
4/8/2020 16:12,91,659
4/8/2020 16:12,91,669
4/8/2020 16:12,90,693
4/8/2020 16:12,90,683
4/8/2020 16:12,90,693
4/8/2020 16:12,90,662
4/8/2020 16:12,90,659
4/8/2020 16:12,90,659
4/8/2020 16:12,89,693
4/8/2020 16:12,89,668
4/8/2020 16:12,89,654
4/8/2020 16:12,89,654
4/8/2020 16:12,89,665
4/8/2020 16:12,89,691
4/8/2020 16:12,89,666
4/8/2020 16:12,89,666
4/8/2020 16:12,89,658
4/8/2020 16:12,89,657
4/8/2020 16:12,89,676
4/8/2020 16:12,89,676
4/8/2020 16:12,89,666
4/8/2020 16:12,89,653
4/8/2020 16:12,89,666
4/8/2020 16:12,89,666
4/8/2020 16:12,89,689
4/8/2020 16:12,89,705
4/8/2020 16:12,89,669
4/8/2020 16:12,89,669
4/8/2020 16:12,89,646
4/8/2020 16:12,89,660
4/8/2020 16:12,89,670
4/8/2020 16:12,89,670
4/8/2020 16:12,89,661
4/8/2020 16:12,89,651
4/8/2020 16:12,89,666
4/8/2020 16:12,89,666
4/8/2020 16:13,89,659
4/8/2020 16:13,90,654
4/8/2020 16:13,90,633
4/8/2020 16:13,90,627
4/8/2020 16:13,90,627
4/8/2020 16:13,91,651
4/8/2020 16:13,91,616
4/8/2020 16:13,91,604
4/8/2020 16:13,92,604
4/8/2020 16:13,92,604
4/8/2020 16:13,93,592
4/8/2020 16:13,93,595
4/8/2020 16:13,93,618
4/8/2020 16:13,94,629
4/8/2020 16:13,94,656
4/8/2020 16:13,95,528
4/8/2020 16:13,94,656
4/8/2020 16:13,95,634
4/8/2020 16:13,96,642
4/8/2020 16:13,96,567
4/8/2020 16:13,97,567
4/8/2020 16:13,97,622
4/8/2020 16:13,97,615
4/8/2020 16:13,98,610
4/8/2020 16:13,98,606
4/8/2020 16:13,98,624
4/8/2020 16:13,98,624
4/8/2020 16:13,98,625
4/8/2020 16:13,98,606
4/8/2020 16:13,97,611
4/8/2020 16:13,97,625
4/8/2020 16:13,97,625
4/8/2020 16:13,97,621
4/8/2020 16:13,97,611
4/8/2020 16:13,97,630
4/8/2020 16:13,97,630
4/8/2020 16:13,97,621
4/8/2020 16:13,97,629
4/8/2020 16:13,97,626
4/8/2020 16:13,97,633
4/8/2020 16:13,97,633
4/8/2020 16:13,96,628
4/8/2020 16:13,96,644
4/8/2020 16:13,96,635
4/8/2020 16:13,96,635
4/8/2020 16:13,95,650
4/8/2020 16:13,95,641
4/8/2020 16:13,95,634
4/8/2020 16:13,95,637
4/8/2020 16:13,95,637
4/8/2020 16:13,95,636
