Time,Rate,RR,,
4/8/2020 17:07,85,638,,
4/8/2020 17:07,85,923,,
4/8/2020 17:07,85,895,,
4/8/2020 17:07,85,1095,,
4/8/2020 17:07,85,828,,72.30496454
4/8/2020 17:07,85,1018,,853.4255319
4/8/2020 17:07,85,807,,
4/8/2020 17:07,85,898,,
4/8/2020 17:07,84,645,,
4/8/2020 17:07,83,700,,
4/8/2020 17:07,84,750,,
4/8/2020 17:07,85,610,,
4/8/2020 17:07,86,621,,
4/8/2020 17:07,86,847,,
4/8/2020 17:07,85,695,,
4/8/2020 17:07,86,695,,
4/8/2020 17:07,86,532,,
4/8/2020 17:07,85,610,,
4/8/2020 17:07,85,700,,
4/8/2020 17:07,85,828,,
4/8/2020 17:07,85,1018,,
4/8/2020 17:07,85,807,,
4/8/2020 17:07,84,645,,
4/8/2020 17:07,86,890,,
4/8/2020 17:07,86,621,,
4/8/2020 17:07,86,532,,
4/8/2020 17:07,85,1095,,
4/8/2020 17:07,85,828,,
4/8/2020 17:07,85,1018,,
4/8/2020 17:07,84,645,,
4/8/2020 17:07,84,939,,
4/8/2020 17:07,86,532,,
4/8/2020 17:07,84,345,,
4/8/2020 17:07,85,828,,
4/8/2020 17:07,84,518,,
4/8/2020 17:07,84,645,,
4/8/2020 17:07,84,716,,
4/8/2020 17:07,83,800,,
4/8/2020 17:07,82,793,,
4/8/2020 17:07,85,828,,
4/8/2020 17:07,84,518,,
4/8/2020 17:07,81,818,,
4/8/2020 17:07,80,818,,
4/8/2020 17:07,83,800,,
4/8/2020 17:07,80,793,,
4/8/2020 17:07,85,828,,
4/8/2020 17:07,79,793,,
4/8/2020 17:07,79,737,,
4/8/2020 17:07,78,737,,
4/8/2020 17:07,78,891,,
4/8/2020 17:07,77,891,,
4/8/2020 17:07,77,956,,
4/8/2020 17:07,76,935,,
4/8/2020 17:07,76,861,,
4/8/2020 17:07,75,861,,
4/8/2020 17:07,74,873,,
4/8/2020 17:07,73,893,,
4/8/2020 17:07,76,935,,
4/8/2020 17:07,72,905,,
4/8/2020 17:07,74,873,,
4/8/2020 17:07,71,905,,
4/8/2020 17:07,70,877,,
4/8/2020 17:07,70,877,,
4/8/2020 17:07,70,836,,
4/8/2020 17:07,69,863,,
4/8/2020 17:07,69,863,,
4/8/2020 17:07,70,870,,
4/8/2020 17:07,69,870,,
4/8/2020 17:07,69,893,,
4/8/2020 17:07,69,893,,
4/8/2020 17:07,69,811,,
4/8/2020 17:07,70,792,,
4/8/2020 17:07,70,792,,
4/8/2020 17:07,70,813,,
4/8/2020 17:07,70,813,,
4/8/2020 17:07,70,874,,
4/8/2020 17:07,70,874,,
4/8/2020 17:07,70,889,,
4/8/2020 17:07,70,895,,
4/8/2020 17:07,70,895,,
4/8/2020 17:07,70,830,,
4/8/2020 17:07,70,796,,
4/8/2020 17:07,70,796,,
4/8/2020 17:07,70,855,,
4/8/2020 17:07,70,855,,
4/8/2020 17:07,70,922,,
4/8/2020 17:07,70,922,,
4/8/2020 17:07,70,900,,
4/8/2020 17:07,69,852,,
4/8/2020 17:07,69,852,,
4/8/2020 17:07,69,827,,
4/8/2020 17:07,70,827,,
4/8/2020 17:07,70,704,,
4/8/2020 17:07,71,704,,
4/8/2020 17:07,71,704,,
4/8/2020 17:07,71,1443,,
4/8/2020 17:07,71,1107,,
4/8/2020 17:07,71,1107,,
4/8/2020 17:07,71,766,,
4/8/2020 17:07,72,766,,
4/8/2020 17:07,73,766,,
4/8/2020 17:07,73,1348,,
4/8/2020 17:07,73,704,,
4/8/2020 17:07,73,734,,
4/8/2020 17:07,74,734,,
4/8/2020 17:07,75,663,,
4/8/2020 17:07,76,663,,
4/8/2020 17:07,75,841,,
4/8/2020 17:07,75,838,,
