Time,Rate,RR,,
4/8/2020 17:30,96,612,,
4/8/2020 17:30,96,617,,
4/8/2020 17:30,96,644,,
4/8/2020 17:30,96,652,,96.95597484
4/8/2020 17:30,96,600,,616.5031447
4/8/2020 17:30,95,600,,
4/8/2020 17:30,95,598,,
4/8/2020 17:30,95,639,,
4/8/2020 17:30,95,631,,
4/8/2020 17:30,95,627,,
4/8/2020 17:30,95,627,,
4/8/2020 17:30,96,606,,
4/8/2020 17:30,96,633,,
4/8/2020 17:30,95,641,,
4/8/2020 17:30,95,629,,
4/8/2020 17:30,95,629,,
4/8/2020 17:30,96,590,,
4/8/2020 17:30,96,639,,
4/8/2020 17:30,95,633,,
4/8/2020 17:30,95,616,,
4/8/2020 17:30,96,616,,
4/8/2020 17:30,96,599,,
4/8/2020 17:30,96,614,,
4/8/2020 17:30,96,620,,
4/8/2020 17:30,96,622,,
4/8/2020 17:30,96,606,,
4/8/2020 17:30,96,606,,
4/8/2020 17:30,96,615,,
4/8/2020 17:30,97,600,,
4/8/2020 17:30,97,611,,
4/8/2020 17:30,97,613,,
4/8/2020 17:30,97,613,,
4/8/2020 17:30,97,601,,
4/8/2020 17:31,97,600,,
4/8/2020 17:31,98,591,,
4/8/2020 17:31,98,589,,
4/8/2020 17:31,98,524,,
4/8/2020 17:31,99,644,,
4/8/2020 17:31,99,644,,
4/8/2020 17:31,99,581,,
4/8/2020 17:31,98,627,,
4/8/2020 17:31,98,853,,
4/8/2020 17:31,98,317,,
4/8/2020 17:31,98,317,,
4/8/2020 17:31,98,677,,
4/8/2020 17:31,99,677,,
4/8/2020 17:31,99,1144,,
4/8/2020 17:31,99,595,,
4/8/2020 17:31,100,614,,
4/8/2020 17:31,100,591,,
4/8/2020 17:31,100,591,,
4/8/2020 17:31,100,602,,
4/8/2020 17:31,100,595,,
4/8/2020 17:31,100,617,,
4/8/2020 17:31,100,617,,
4/8/2020 17:31,100,633,,
4/8/2020 17:31,100,608,,
4/8/2020 17:31,100,549,,
4/8/2020 17:31,100,590,,
4/8/2020 17:31,100,572,,
4/8/2020 17:31,100,574,,
4/8/2020 17:31,101,574,,
4/8/2020 17:31,101,602,,
4/8/2020 17:31,101,587,,
4/8/2020 17:31,101,573,,
4/8/2020 17:31,101,632,,
4/8/2020 17:31,101,632,,
4/8/2020 17:31,101,627,,
4/8/2020 17:31,100,625,,
4/8/2020 17:31,100,589,,
4/8/2020 17:31,100,606,,
4/8/2020 17:31,100,623,,
4/8/2020 17:31,99,623,,
4/8/2020 17:31,99,644,,
4/8/2020 17:31,99,578,,
4/8/2020 17:31,99,610,,
4/8/2020 17:31,99,614,,
4/8/2020 17:31,99,629,,
4/8/2020 17:31,99,629,,
4/8/2020 17:31,98,578,,
4/8/2020 17:31,98,613,,
4/8/2020 17:31,98,619,,
4/8/2020 17:31,98,658,,
4/8/2020 17:31,98,658,,
4/8/2020 17:31,98,599,,
4/8/2020 17:31,98,607,,
4/8/2020 17:31,97,612,,
4/8/2020 17:31,97,634,,
4/8/2020 17:31,97,603,,
4/8/2020 17:31,97,603,,
4/8/2020 17:31,97,602,,
4/8/2020 17:31,97,612,,
4/8/2020 17:31,97,629,,
4/8/2020 17:31,97,639,,
4/8/2020 17:31,97,639,,
4/8/2020 17:31,97,618,,
4/8/2020 17:31,97,609,,
4/8/2020 17:31,97,647,,
4/8/2020 17:31,97,625,,
4/8/2020 17:31,96,625,,
4/8/2020 17:31,96,609,,
4/8/2020 17:31,96,647,,
4/8/2020 17:31,96,639,,
4/8/2020 17:31,96,639,,
4/8/2020 17:31,96,605,,
4/8/2020 17:31,96,625,,
4/8/2020 17:31,95,608,,
4/8/2020 17:31,95,613,,
4/8/2020 17:31,96,608,,
4/8/2020 17:31,96,608,,
4/8/2020 17:31,96,576,,
4/8/2020 17:31,97,606,,
4/8/2020 17:31,97,598,,
4/8/2020 17:31,97,618,,
