Time,Rate,RR
4/8/2020 17:57,90,635
4/8/2020 17:57,91,685
4/8/2020 17:57,91,598
4/8/2020 17:57,91,632
4/8/2020 17:57,92,558
4/8/2020 17:57,92,558
4/8/2020 17:57,93,591
4/8/2020 17:57,93,614
4/8/2020 17:57,93,637
4/8/2020 17:57,94,637
4/8/2020 17:57,94,635
4/8/2020 17:57,94,678
4/8/2020 17:57,94,717
4/8/2020 17:57,93,717
4/8/2020 17:57,93,730
4/8/2020 17:58,92,692
4/8/2020 17:58,92,617
4/8/2020 17:58,92,617
4/8/2020 17:58,92,630
4/8/2020 17:58,92,611
4/8/2020 17:58,92,644
4/8/2020 17:58,92,623
4/8/2020 17:58,92,623
4/8/2020 17:58,92,660
4/8/2020 17:58,92,685
4/8/2020 17:58,92,672
4/8/2020 17:58,92,672
4/8/2020 17:58,92,654
4/8/2020 17:58,91,671
4/8/2020 17:58,91,715
4/8/2020 17:58,91,715
4/8/2020 17:58,91,700
4/8/2020 17:58,90,660
4/8/2020 17:58,90,660
4/8/2020 17:58,90,677
4/8/2020 17:58,90,661
4/8/2020 17:58,89,663
4/8/2020 17:58,89,663
4/8/2020 17:58,89,699
4/8/2020 17:58,89,644
4/8/2020 17:58,89,677
4/8/2020 17:58,89,677
4/8/2020 17:58,89,680
4/8/2020 17:58,89,692
4/8/2020 17:58,89,682
4/8/2020 17:58,89,682
4/8/2020 17:58,89,659
4/8/2020 17:58,89,664
4/8/2020 17:58,89,646
4/8/2020 17:58,89,646
4/8/2020 17:58,89,656
4/8/2020 17:58,89,631
4/8/2020 17:58,89,623
4/8/2020 17:58,90,616
4/8/2020 17:58,90,616
4/8/2020 17:58,90,631
4/8/2020 17:58,91,628
4/8/2020 17:58,91,627
4/8/2020 17:58,92,600
4/8/2020 17:58,92,600
4/8/2020 17:58,92,669
4/8/2020 17:58,93,560
4/8/2020 17:58,93,620
4/8/2020 17:58,94,591
4/8/2020 17:58,95,586
4/8/2020 17:58,95,555
4/8/2020 17:58,95,562
4/8/2020 17:58,96,562
4/8/2020 17:58,97,602
4/8/2020 17:58,97,519
4/8/2020 17:58,98,519
4/8/2020 17:58,99,1076
4/8/2020 17:58,100,574
4/8/2020 17:58,100,586
4/8/2020 17:58,101,586
4/8/2020 17:58,101,590
4/8/2020 17:58,101,618
4/8/2020 17:58,101,630
4/8/2020 17:58,101,630
4/8/2020 17:58,100,622
4/8/2020 17:58,100,646
4/8/2020 17:58,99,680
4/8/2020 17:58,99,680
4/8/2020 17:58,98,686
4/8/2020 17:58,98,671
4/8/2020 17:58,97,672
4/8/2020 17:58,97,672
4/8/2020 17:58,96,673
4/8/2020 17:58,96,692
4/8/2020 17:58,95,684
4/8/2020 17:58,96,684
4/8/2020 17:58,96,385
4/8/2020 17:58,95,772
4/8/2020 17:58,94,778
4/8/2020 17:58,94,635
4/8/2020 17:58,93,635
4/8/2020 17:58,93,630
4/8/2020 17:58,93,622
4/8/2020 17:58,93,617
4/8/2020 17:58,93,608
4/8/2020 17:58,93,608
4/8/2020 17:58,93,639
4/8/2020 17:58,93,661
4/8/2020 17:58,93,662
4/8/2020 17:58,93,662
4/8/2020 17:58,93,672
4/8/2020 17:58,92,717
4/8/2020 17:58,92,717
4/8/2020 17:58,92,706
4/8/2020 17:58,91,700
4/8/2020 17:58,91,715
4/8/2020 17:58,90,715
4/8/2020 17:58,90,685
4/8/2020 17:58,89,690
4/8/2020 17:58,89,663
4/8/2020 17:58,89,663
4/8/2020 17:58,89,653
4/8/2020 17:58,89,678
4/8/2020 17:58,89,678
4/8/2020 17:58,89,673
4/8/2020 17:58,89,678
4/8/2020 17:58,89,651
4/8/2020 17:58,89,649
4/8/2020 17:58,89,649
4/8/2020 17:58,89,671
4/8/2020 17:58,89,653
4/8/2020 17:58,89,654
4/8/2020 17:58,89,654
4/8/2020 17:58,89,677
4/8/2020 17:58,89,663
4/8/2020 17:58,89,682
4/8/2020 17:58,90,610
4/8/2020 17:58,90,610
4/8/2020 17:58,90,654
