Time,Rate,RR,,
4/7/2020 23:24,82,778,,
4/7/2020 23:26,89,645,,
4/7/2020 23:26,89,686,,85.20930233
4/7/2020 23:26,89,690,,707.4341085
4/7/2020 23:26,88,662,,
4/7/2020 23:26,88,674,,
4/7/2020 23:26,88,674,,
4/7/2020 23:26,88,651,,
4/7/2020 23:26,89,714,,
4/7/2020 23:26,89,468,,
4/7/2020 23:26,89,468,,
4/7/2020 23:26,88,996,,
4/7/2020 23:26,88,996,,
4/7/2020 23:26,88,728,,
4/7/2020 23:26,87,718,,
4/7/2020 23:26,87,681,,
4/7/2020 23:26,86,681,,
4/7/2020 23:26,86,675,,
4/7/2020 23:26,86,643,,
4/7/2020 23:26,87,667,,
4/7/2020 23:26,87,667,,
4/7/2020 23:26,87,654,,
4/7/2020 23:26,87,678,,
4/7/2020 23:26,87,678,,
4/7/2020 23:26,87,721,,
4/7/2020 23:26,87,811,,
4/7/2020 23:26,86,811,,
4/7/2020 23:26,86,775,,
4/7/2020 23:26,86,731,,
4/7/2020 23:26,85,731,,
4/7/2020 23:26,85,747,,
4/7/2020 23:26,84,737,,
4/7/2020 23:26,84,737,,
4/7/2020 23:26,84,769,,
4/7/2020 23:26,83,722,,
4/7/2020 23:26,83,722,,
4/7/2020 23:26,83,751,,
4/7/2020 23:26,82,751,,
4/7/2020 23:26,82,785,,
4/7/2020 23:26,81,816,,
4/7/2020 23:26,81,816,,
4/7/2020 23:26,80,724,,
4/7/2020 23:26,80,738,,
4/7/2020 23:26,80,738,,
4/7/2020 23:26,80,736,,
4/7/2020 23:26,80,730,,
4/7/2020 23:26,80,696,,
4/7/2020 23:26,80,696,,
4/7/2020 23:26,80,744,,
4/7/2020 23:26,80,805,,
4/7/2020 23:26,80,805,,
4/7/2020 23:26,81,702,,
4/7/2020 23:26,80,702,,
4/7/2020 23:26,80,715,,
4/7/2020 23:26,80,820,,
4/7/2020 23:26,80,748,,
4/7/2020 23:26,80,748,,
4/7/2020 23:26,80,748,,
4/7/2020 23:26,80,740,,
4/7/2020 23:26,80,650,,
4/7/2020 23:26,81,606,,
4/7/2020 23:26,81,697,,
4/7/2020 23:26,82,697,,
4/7/2020 23:26,82,614,,
4/7/2020 23:26,82,806,,
4/7/2020 23:26,82,806,,
4/7/2020 23:26,82,806,,
4/7/2020 23:26,83,780,,
4/7/2020 23:26,83,661,,
4/7/2020 23:26,83,660,,
4/7/2020 23:26,83,660,,
4/7/2020 23:26,84,691,,
4/7/2020 23:26,84,615,,
4/7/2020 23:26,85,685,,
4/7/2020 23:26,85,685,,
4/7/2020 23:26,86,629,,
4/7/2020 23:26,86,687,,
4/7/2020 23:26,86,677,,
4/7/2020 23:27,86,677,,
4/7/2020 23:27,87,717,,
4/7/2020 23:27,87,624,,
4/7/2020 23:27,87,731,,
4/7/2020 23:27,87,731,,
4/7/2020 23:27,88,663,,
4/7/2020 23:27,88,658,,
4/7/2020 23:27,88,658,,
4/7/2020 23:27,88,660,,
4/7/2020 23:27,88,726,,
4/7/2020 23:27,88,615,,
4/7/2020 23:27,89,615,,
4/7/2020 23:27,89,709,,
4/7/2020 23:27,89,610,,
4/7/2020 23:27,89,666,,
4/7/2020 23:27,89,644,,
4/7/2020 23:27,90,585,,
4/7/2020 23:27,90,585,,
4/7/2020 23:27,91,637,,
4/7/2020 23:27,91,616,,
4/7/2020 23:27,91,616,,
4/7/2020 23:27,91,658,,
4/7/2020 23:27,91,761,,
4/7/2020 23:27,91,761,,
4/7/2020 23:27,90,779,,
4/7/2020 23:27,90,779,,
4/7/2020 23:27,90,650,,
4/7/2020 23:27,89,650,,
4/7/2020 23:27,89,699,,
4/7/2020 23:27,88,702,,
4/7/2020 23:27,88,702,,
4/7/2020 23:27,88,680,,
4/7/2020 23:27,87,690,,
4/7/2020 23:27,87,690,,
4/7/2020 23:27,86,718,,
4/7/2020 23:27,86,781,,
4/7/2020 23:27,86,718,,
4/7/2020 23:27,85,718,,
4/7/2020 23:27,85,718,,
4/7/2020 23:27,84,733,,
4/7/2020 23:27,84,733,,
4/7/2020 23:27,84,735,,
4/7/2020 23:27,83,770,,
4/7/2020 23:27,83,770,,
4/7/2020 23:27,82,704,,
4/7/2020 23:27,82,697,,
4/7/2020 23:27,83,697,,
4/7/2020 23:27,83,709,,
4/7/2020 23:27,82,738,,
4/7/2020 23:27,83,712,,
4/7/2020 23:27,83,712,,
