Time,Rate,RR,,
4/8/2020 16:24,88,641,,
4/8/2020 16:24,89,658,,
4/8/2020 16:24,89,697,,
4/8/2020 16:24,89,726,,88.55215827
4/8/2020 16:24,88,726,,700.1079137
4/8/2020 16:24,88,714,,
4/8/2020 16:24,88,717,,
4/8/2020 16:24,88,662,,
4/8/2020 16:24,87,662,,
4/8/2020 16:24,88,629,,
4/8/2020 16:24,88,622,,
4/8/2020 16:24,88,635,,
4/8/2020 16:24,88,635,,
4/8/2020 16:24,89,684,,
4/8/2020 16:24,89,680,,
4/8/2020 16:24,89,676,,
4/8/2020 16:24,89,676,,
4/8/2020 16:24,89,598,,
4/8/2020 16:24,90,658,,
4/8/2020 16:24,90,580,,
4/8/2020 16:24,91,619,,
4/8/2020 16:24,91,566,,
4/8/2020 16:24,92,593,,
4/8/2020 16:24,92,517,,
4/8/2020 16:24,93,517,,
4/8/2020 16:24,93,579,,
4/8/2020 16:24,93,586,,
4/8/2020 16:24,94,634,,
4/8/2020 16:24,94,634,,
4/8/2020 16:24,94,644,,
4/8/2020 16:24,94,664,,
4/8/2020 16:24,94,659,,
4/8/2020 16:24,93,659,,
4/8/2020 16:24,93,712,,
4/8/2020 16:24,92,745,,
4/8/2020 16:24,92,745,,
4/8/2020 16:24,92,762,,
4/8/2020 16:24,91,755,,
4/8/2020 16:24,91,755,,
4/8/2020 16:24,91,738,,
4/8/2020 16:24,89,735,,
4/8/2020 16:24,89,735,,
4/8/2020 16:24,88,741,,
4/8/2020 16:24,87,735,,
4/8/2020 16:24,87,735,,
4/8/2020 16:24,86,714,,
4/8/2020 16:24,85,711,,
4/8/2020 16:24,85,695,,
4/8/2020 16:24,84,695,,
4/8/2020 16:24,84,728,,
4/8/2020 16:24,84,721,,
4/8/2020 16:24,83,721,,
4/8/2020 16:24,83,746,,
4/8/2020 16:24,83,768,,
4/8/2020 16:24,82,768,,
4/8/2020 16:24,82,734,,
4/8/2020 16:24,82,706,,
4/8/2020 16:24,82,664,,
4/8/2020 16:24,82,664,,
4/8/2020 16:24,83,680,,
4/8/2020 16:24,83,618,,
4/8/2020 16:24,84,617,,
4/8/2020 16:24,84,617,,
4/8/2020 16:24,84,657,,
4/8/2020 16:24,85,689,,
4/8/2020 16:24,85,689,,
4/8/2020 16:24,85,760,,
4/8/2020 16:24,85,704,,
4/8/2020 16:24,85,665,,
4/8/2020 16:25,85,665,,
4/8/2020 16:25,85,697,,
4/8/2020 16:25,85,759,,
4/8/2020 16:25,85,759,,
4/8/2020 16:25,85,704,,
4/8/2020 16:25,85,641,,
4/8/2020 16:25,85,758,,
