Time,Rate,RR,,
4/7/2020 20:29,82,753,,84.02020202
4/7/2020 20:29,85,740,,693.1111111
4/7/2020 20:29,86,723,,
4/7/2020 20:29,83,680,,
4/7/2020 20:29,81,616,,
4/7/2020 20:29,82,680,,
4/7/2020 20:29,82,699,,
4/7/2020 20:29,83,907,,
4/7/2020 20:29,83,537,,
4/7/2020 20:29,85,488,,
4/7/2020 20:29,84,605,,
4/7/2020 20:29,82,713,,
4/7/2020 20:29,83,734,,
4/7/2020 20:29,85,715,,
4/7/2020 20:29,84,757,,
4/7/2020 20:29,84,749,,
4/7/2020 20:29,84,620,,
4/7/2020 20:29,85,687,,
4/7/2020 20:29,85,727,,
4/7/2020 20:29,85,735,,
4/7/2020 20:30,83,695,,
4/7/2020 20:30,82,632,,
4/7/2020 20:30,85,670,,
4/7/2020 20:30,83,778,,
4/7/2020 20:30,83,670,,
4/7/2020 20:30,85,769,,
4/7/2020 20:30,85,641,,
4/7/2020 20:30,84,932,,
4/7/2020 20:30,84,804,,
4/7/2020 20:30,84,590,,
4/7/2020 20:30,82,796,,
4/7/2020 20:30,81,550,,
4/7/2020 20:30,83,646,,
4/7/2020 20:30,84,637,,
4/7/2020 20:30,85,607,,
4/7/2020 20:30,87,764,,
4/7/2020 20:30,90,615,,
4/7/2020 20:30,91,738,,
4/7/2020 20:30,89,637,,
4/7/2020 20:30,88,637,,
4/7/2020 20:31,87,528,,
4/7/2020 20:31,86,750,,
4/7/2020 20:31,84,824,,
4/7/2020 20:31,87,740,,
4/7/2020 20:31,87,763,,
4/7/2020 20:31,86,622,,
4/7/2020 20:31,86,678,,
4/7/2020 20:31,85,811,,
4/7/2020 20:31,84,747,,
4/7/2020 20:31,84,806,,
4/7/2020 20:31,83,745,,
4/7/2020 20:31,82,646,,
4/7/2020 20:31,83,728,,
4/7/2020 20:31,83,544,,
4/7/2020 20:31,83,617,,
4/7/2020 20:31,83,623,,
4/7/2020 20:31,85,746,,
4/7/2020 20:31,86,710,,
4/7/2020 20:31,89,642,,
4/7/2020 20:31,88,688,,
4/7/2020 20:32,86,781,,
4/7/2020 20:32,84,798,,
4/7/2020 20:32,86,749,,
4/7/2020 20:32,86,698,,
4/7/2020 20:32,86,683,,
4/7/2020 20:32,85,906,,
4/7/2020 20:32,84,996,,
4/7/2020 20:32,84,432,,
4/7/2020 20:32,82,682,,
4/7/2020 20:32,81,656,,
4/7/2020 20:32,83,630,,
4/7/2020 20:32,84,772,,
4/7/2020 20:32,83,650,,
4/7/2020 20:32,83,500,,
4/7/2020 20:32,82,567,,
4/7/2020 20:32,83,750,,
4/7/2020 20:32,83,592,,
4/7/2020 20:32,84,500,,
4/7/2020 20:32,82,466,,
4/7/2020 20:32,81,610,,
4/7/2020 20:33,82,640,,
4/7/2020 20:33,84,510,,
4/7/2020 20:33,86,530,,
4/7/2020 20:33,86,823,,
4/7/2020 20:33,85,715,,
4/7/2020 20:33,85,700,,
4/7/2020 20:33,84,855,,
