Time,Rate,RR,,
4/8/2020 13:19,85,605,,
4/8/2020 13:19,85,605,,
4/8/2020 13:19,85,672,,89.68686869
4/8/2020 13:19,86,669,,674.3535354
4/8/2020 13:19,86,726,,
4/8/2020 13:19,87,726,,
4/8/2020 13:19,87,483,,
4/8/2020 13:19,87,758,,
4/8/2020 13:19,88,521,,
4/8/2020 13:19,88,641,,
4/8/2020 13:19,88,641,,
4/8/2020 13:19,88,480,,
4/8/2020 13:19,87,664,,
4/8/2020 13:19,88,743,,
4/8/2020 13:19,88,743,,
4/8/2020 13:19,88,743,,
4/8/2020 13:19,88,1265,,
4/8/2020 13:19,89,686,,
4/8/2020 13:19,89,686,,
4/8/2020 13:19,89,590,,
4/8/2020 13:19,89,660,,
4/8/2020 13:19,89,830,,
4/8/2020 13:19,89,830,,
4/8/2020 13:19,89,562,,
4/8/2020 13:19,89,758,,
4/8/2020 13:19,89,674,,
4/8/2020 13:19,88,674,,
4/8/2020 13:19,88,648,,
4/8/2020 13:19,88,715,,
4/8/2020 13:19,88,715,,
4/8/2020 13:19,88,721,,
4/8/2020 13:19,87,673,,
4/8/2020 13:19,87,668,,
4/8/2020 13:19,87,668,,
4/8/2020 13:19,87,714,,
4/8/2020 13:19,87,705,,
4/8/2020 13:19,86,705,,
4/8/2020 13:19,86,690,,
4/8/2020 13:19,87,674,,
4/8/2020 13:19,86,659,,
4/8/2020 13:19,86,659,,
4/8/2020 13:19,86,719,,
4/8/2020 13:19,86,740,,
4/8/2020 13:19,86,740,,
4/8/2020 13:20,86,687,,
4/8/2020 13:20,86,736,,
4/8/2020 13:20,86,616,,
4/8/2020 13:20,86,616,,
4/8/2020 13:20,86,747,,
4/8/2020 13:20,86,733,,
4/8/2020 13:20,86,733,,
4/8/2020 13:20,86,703,,
4/8/2020 13:20,86,651,,
4/8/2020 13:20,86,620,,
4/8/2020 13:20,86,620,,
4/8/2020 13:20,86,620,,
4/8/2020 13:20,86,881,,
4/8/2020 13:20,87,1108,,
4/8/2020 13:20,87,1108,,
4/8/2020 13:20,87,613,,
4/8/2020 13:20,88,613,,
4/8/2020 13:20,88,530,,
4/8/2020 13:20,88,442,,
4/8/2020 13:20,88,442,,
4/8/2020 13:20,88,422,,
4/8/2020 13:20,89,664,,
4/8/2020 13:20,89,671,,
4/8/2020 13:20,90,671,,
4/8/2020 13:20,90,620,,
4/8/2020 13:20,90,661,,
4/8/2020 13:20,90,639,,
4/8/2020 13:20,91,615,,
4/8/2020 13:20,91,615,,
4/8/2020 13:20,92,631,,
4/8/2020 13:20,92,622,,
4/8/2020 13:20,92,645,,
4/8/2020 13:20,93,645,,
4/8/2020 13:20,93,669,,
4/8/2020 13:20,93,678,,
4/8/2020 13:20,92,666,,
4/8/2020 13:20,92,666,,
4/8/2020 13:20,92,639,,
4/8/2020 13:20,92,670,,
4/8/2020 13:20,92,674,,
4/8/2020 13:20,91,674,,
4/8/2020 13:20,91,696,,
4/8/2020 13:20,91,679,,
4/8/2020 13:20,91,615,,
4/8/2020 13:20,91,550,,
4/8/2020 13:20,91,550,,
4/8/2020 13:20,91,659,,
4/8/2020 13:20,91,765,,
4/8/2020 13:20,91,765,,
4/8/2020 13:20,91,736,,
4/8/2020 13:20,91,623,,
4/8/2020 13:20,90,610,,
4/8/2020 13:20,90,610,,
4/8/2020 13:20,90,657,,
4/8/2020 13:20,90,820,,
4/8/2020 13:20,90,492,,
4/8/2020 13:20,91,649,,
4/8/2020 13:20,91,649,,
4/8/2020 13:20,91,592,,
4/8/2020 13:20,91,696,,
4/8/2020 13:20,91,673,,
4/8/2020 13:20,91,673,,
4/8/2020 13:20,91,700,,
4/8/2020 13:20,91,670,,
4/8/2020 13:20,91,647,,
4/8/2020 13:20,91,647,,
4/8/2020 13:20,90,662,,
4/8/2020 13:20,90,662,,
4/8/2020 13:20,90,715,,
4/8/2020 13:20,90,715,,
4/8/2020 13:20,90,632,,
4/8/2020 13:20,90,624,,
4/8/2020 13:20,90,624,,
4/8/2020 13:20,89,758,,
4/8/2020 13:20,89,758,,
