Time,Rate,RR
4/9/2020 0:32,88,692
4/9/2020 0:32,88,588
4/9/2020 0:32,88,690
4/9/2020 0:32,88,760
4/9/2020 0:32,87,822
4/9/2020 0:32,88,692
4/9/2020 0:32,88,760
4/9/2020 0:32,88,690
4/9/2020 0:32,87,517
4/9/2020 0:32,87,874
4/9/2020 0:32,86,550
4/9/2020 0:33,86,550
4/9/2020 0:33,86,550
4/9/2020 0:33,87,550
4/9/2020 0:33,86,388
4/9/2020 0:33,86,388
4/9/2020 0:33,86,388
4/9/2020 0:33,85,593
4/9/2020 0:33,84,980
4/9/2020 0:33,84,576
4/9/2020 0:33,85,576
4/9/2020 0:33,84,703
4/9/2020 0:33,84,775
4/9/2020 0:33,83,775
4/9/2020 0:33,83,907
4/9/2020 0:33,83,907
4/9/2020 0:33,83,901
4/9/2020 0:33,82,901
4/9/2020 0:33,82,843
4/9/2020 0:33,81,811
4/9/2020 0:33,81,811
4/9/2020 0:33,80,815
4/9/2020 0:33,80,826
4/9/2020 0:33,78,826
4/9/2020 0:33,79,761
4/9/2020 0:33,79,672
4/9/2020 0:33,79,672
4/9/2020 0:33,79,697
4/9/2020 0:33,79,697
4/9/2020 0:33,79,833
4/9/2020 0:33,78,885
4/9/2020 0:33,78,885
4/9/2020 0:33,77,813
4/9/2020 0:33,77,813
4/9/2020 0:33,76,854
4/9/2020 0:33,76,854
4/9/2020 0:33,76,886
4/9/2020 0:33,75,845
4/9/2020 0:33,74,845
4/9/2020 0:33,74,841
4/9/2020 0:33,74,766
4/9/2020 0:33,74,766
4/9/2020 0:33,75,666
4/9/2020 0:33,75,719
4/9/2020 0:33,76,719
4/9/2020 0:33,76,782
4/9/2020 0:33,76,799
4/9/2020 0:33,77,799
4/9/2020 0:33,77,754
4/9/2020 0:33,77,741
4/9/2020 0:33,77,741
4/9/2020 0:33,78,822
4/9/2020 0:33,77,822
4/9/2020 0:33,77,850
4/9/2020 0:33,77,763
4/9/2020 0:33,77,677
4/9/2020 0:33,77,677
4/9/2020 0:33,77,732
4/9/2020 0:33,78,813
4/9/2020 0:33,78,813
4/9/2020 0:33,78,722
4/9/2020 0:33,78,658
4/9/2020 0:33,79,658
4/9/2020 0:33,79,826
4/9/2020 0:33,79,826
4/9/2020 0:33,78,903
4/9/2020 0:33,78,871
4/9/2020 0:33,77,871
4/9/2020 0:33,77,733
4/9/2020 0:33,77,733
4/9/2020 0:33,77,731
4/9/2020 0:33,77,783
4/9/2020 0:33,77,746
4/9/2020 0:33,77,746
4/9/2020 0:33,77,667
4/9/2020 0:33,78,667
4/9/2020 0:33,78,742
4/9/2020 0:33,78,846
4/9/2020 0:33,78,846
4/9/2020 0:33,78,817
4/9/2020 0:33,78,788
4/9/2020 0:33,77,788
4/9/2020 0:33,77,859
4/9/2020 0:33,77,859
4/9/2020 0:33,76,854
4/9/2020 0:33,76,790
4/9/2020 0:33,76,660
4/9/2020 0:33,76,660
4/9/2020 0:33,77,688
4/9/2020 0:33,77,744
4/9/2020 0:33,78,744
4/9/2020 0:33,78,712
4/9/2020 0:33,79,630
4/9/2020 0:33,79,630
4/9/2020 0:33,79,726
4/9/2020 0:33,80,842
4/9/2020 0:33,79,842
4/9/2020 0:33,79,855
4/9/2020 0:33,79,750
4/9/2020 0:33,79,750
4/9/2020 0:33,79,717
4/9/2020 0:33,79,718
4/9/2020 0:33,79,718
4/9/2020 0:33,80,739
4/9/2020 0:33,80,698
4/9/2020 0:33,80,606
4/9/2020 0:33,81,606
4/9/2020 0:33,81,618
4/9/2020 0:33,82,686
4/9/2020 0:33,82,704
4/9/2020 0:33,82,704
4/9/2020 0:33,83,671
4/9/2020 0:33,84,620
4/9/2020 0:33,84,688
4/9/2020 0:33,84,688
4/9/2020 0:33,85,765
4/9/2020 0:33,84,798
4/9/2020 0:33,84,798
4/9/2020 0:33,84,717
4/9/2020 0:33,84,680
4/9/2020 0:33,84,680
4/9/2020 0:34,83,710
4/9/2020 0:34,83,726
4/9/2020 0:34,83,726
4/9/2020 0:34,83,732
4/9/2020 0:34,84,674
4/9/2020 0:34,84,616
4/9/2020 0:34,85,616
4/9/2020 0:34,85,626
4/9/2020 0:34,85,765
4/9/2020 0:34,85,772
4/9/2020 0:34,85,772
4/9/2020 0:34,85,702
4/9/2020 0:34,85,650
4/9/2020 0:34,85,650
4/9/2020 0:34,85,673
4/9/2020 0:34,85,739
4/9/2020 0:34,85,739
4/9/2020 0:34,85,820
4/9/2020 0:34,84,798
4/9/2020 0:34,84,798
4/9/2020 0:34,84,769
4/9/2020 0:34,83,723
4/9/2020 0:34,83,625
4/9/2020 0:34,83,625
4/9/2020 0:34,84,602
4/9/2020 0:34,84,621
4/9/2020 0:34,85,701
4/9/2020 0:34,85,701
4/9/2020 0:34,85,722
4/9/2020 0:34,85,765
4/9/2020 0:34,85,765
4/9/2020 0:34,85,723
4/9/2020 0:34,85,647
4/9/2020 0:34,85,647
4/9/2020 0:34,85,709
4/9/2020 0:34,85,789
4/9/2020 0:34,85,789
4/9/2020 0:34,84,751
4/9/2020 0:34,84,686
4/9/2020 0:34,84,749
4/9/2020 0:34,84,749
4/9/2020 0:34,83,737
4/9/2020 0:34,83,721
4/9/2020 0:34,83,721
4/9/2020 0:34,83,751
4/9/2020 0:34,82,749
4/9/2020 0:34,82,678
4/9/2020 0:34,82,678
4/9/2020 0:34,83,597
4/9/2020 0:34,84,613
4/9/2020 0:34,84,613
4/9/2020 0:34,84,678
4/9/2020 0:34,84,771
4/9/2020 0:34,85,680
4/9/2020 0:34,85,680
4/9/2020 0:34,85,667
4/9/2020 0:34,85,749
4/9/2020 0:34,85,749
4/9/2020 0:34,85,723
4/9/2020 0:34,85,714
4/9/2020 0:34,85,714
4/9/2020 0:34,84,736
4/9/2020 0:34,84,750
4/9/2020 0:34,84,702
4/9/2020 0:34,84,702
4/9/2020 0:34,84,653
4/9/2020 0:34,84,690
4/9/2020 0:34,85,693
4/9/2020 0:34,85,693
4/9/2020 0:34,85,640
4/9/2020 0:34,85,707
4/9/2020 0:34,85,707
4/9/2020 0:34,85,720
4/9/2020 0:34,85,730
4/9/2020 0:34,85,639
4/9/2020 0:34,86,592
4/9/2020 0:34,86,592
4/9/2020 0:34,87,586
4/9/2020 0:34,87,643
4/9/2020 0:34,87,697
4/9/2020 0:34,88,697
4/9/2020 0:34,88,639
4/9/2020 0:34,88,677
4/9/2020 0:34,89,677
4/9/2020 0:34,88,737
4/9/2020 0:34,88,747
4/9/2020 0:34,88,664
4/9/2020 0:34,87,664
4/9/2020 0:34,87,693
4/9/2020 0:34,87,716
4/9/2020 0:34,87,639
4/9/2020 0:34,87,639
4/9/2020 0:34,87,684
4/9/2020 0:34,87,727
4/9/2020 0:34,87,727
4/9/2020 0:34,87,727
4/9/2020 0:34,87,664
4/9/2020 0:34,87,594
4/9/2020 0:34,88,578
4/9/2020 0:34,88,578
4/9/2020 0:34,88,612
4/9/2020 0:34,88,713
4/9/2020 0:34,89,713
4/9/2020 0:34,89,737
4/9/2020 0:34,89,698
4/9/2020 0:34,88,738
4/9/2020 0:34,89,588
4/9/2020 0:34,89,580
4/9/2020 0:34,89,580
4/9/2020 0:34,90,601
4/9/2020 0:34,90,555
4/9/2020 0:34,90,667
4/9/2020 0:34,91,667
4/9/2020 0:34,91,688
4/9/2020 0:34,91,722
4/9/2020 0:34,91,722
4/9/2020 0:34,90,679
4/9/2020 0:34,90,668
4/9/2020 0:34,90,657
4/9/2020 0:34,90,626
4/9/2020 0:35,90,626
4/9/2020 0:35,90,618
4/9/2020 0:35,90,686
4/9/2020 0:35,90,639
4/9/2020 0:35,90,639
4/9/2020 0:35,90,700
4/9/2020 0:35,91,633
4/9/2020 0:35,91,588
4/9/2020 0:35,91,602
4/9/2020 0:35,91,602
4/9/2020 0:35,92,691
4/9/2020 0:35,91,691
4/9/2020 0:35,91,797
4/9/2020 0:35,91,831
