Time,Rate,RR,,
4/8/2020 14:06,85,820,,
4/8/2020 14:06,85,859,,
4/8/2020 14:06,85,1306,,86.63866878
4/8/2020 14:06,84,1306,,697.2187005
4/8/2020 14:06,84,727,,
4/8/2020 14:06,84,727,,
4/8/2020 14:06,84,727,,
4/8/2020 14:06,84,707,,
4/8/2020 14:06,85,1169,,
4/8/2020 14:06,85,1169,,
4/8/2020 14:06,85,792,,
4/8/2020 14:06,85,792,,
4/8/2020 14:06,85,657,,
4/8/2020 14:06,85,619,,
4/8/2020 14:06,85,619,,
4/8/2020 14:06,85,873,,
4/8/2020 14:06,86,620,,
4/8/2020 14:06,86,628,,
4/8/2020 14:06,87,628,,
4/8/2020 14:06,87,712,,
4/8/2020 14:06,87,721,,
4/8/2020 14:06,87,721,,
4/8/2020 14:06,86,771,,
4/8/2020 14:06,85,798,,
4/8/2020 14:06,86,798,,
4/8/2020 14:06,85,804,,
4/8/2020 14:06,85,804,,
4/8/2020 14:06,84,784,,
4/8/2020 14:06,84,784,,
4/8/2020 14:06,85,742,,
4/8/2020 14:06,85,742,,
4/8/2020 14:06,85,1232,,
4/8/2020 14:06,84,866,,
4/8/2020 14:06,83,866,,
4/8/2020 14:06,83,778,,
4/8/2020 14:06,82,768,,
4/8/2020 14:06,81,768,,
4/8/2020 14:06,81,761,,
4/8/2020 14:06,81,755,,
4/8/2020 14:06,80,755,,
4/8/2020 14:06,80,785,,
4/8/2020 14:06,80,745,,
4/8/2020 14:06,79,745,,
4/8/2020 14:06,80,696,,
4/8/2020 14:06,80,740,,
4/8/2020 14:06,80,740,,
4/8/2020 14:06,80,752,,
4/8/2020 14:06,79,797,,
4/8/2020 14:06,79,797,,
4/8/2020 14:06,79,790,,
4/8/2020 14:06,79,754,,
4/8/2020 14:06,79,754,,
4/8/2020 14:06,79,732,,
4/8/2020 14:06,79,732,,
4/8/2020 14:06,79,764,,
4/8/2020 14:06,79,777,,
4/8/2020 14:06,79,777,,
4/8/2020 14:06,78,803,,
4/8/2020 14:06,78,731,,
4/8/2020 14:06,79,731,,
4/8/2020 14:06,78,721,,
4/8/2020 14:06,79,722,,
4/8/2020 14:06,79,722,,
4/8/2020 14:06,79,790,,
4/8/2020 14:06,79,772,,
4/8/2020 14:06,79,772,,
4/8/2020 14:06,79,717,,
4/8/2020 14:06,79,735,,
4/8/2020 14:06,79,735,,
4/8/2020 14:06,79,765,,
4/8/2020 14:06,79,771,,
4/8/2020 14:06,79,771,,
4/8/2020 14:06,79,732,,
4/8/2020 14:06,79,721,,
4/8/2020 14:06,80,722,,
4/8/2020 14:06,80,722,,
4/8/2020 14:06,80,762,,
4/8/2020 14:06,80,759,,
4/8/2020 14:06,80,759,,
4/8/2020 14:06,80,729,,
4/8/2020 14:06,80,729,,
4/8/2020 14:06,80,761,,
4/8/2020 14:06,80,812,,
4/8/2020 14:06,80,812,,
4/8/2020 14:06,79,785,,
4/8/2020 14:06,79,736,,
4/8/2020 14:07,79,736,,
4/8/2020 14:07,79,742,,
4/8/2020 14:07,79,737,,
4/8/2020 14:07,79,737,,
